,Feature 1,Feature 2,Label,Cosine Similarity,Predicted Label
3762,reuse drawingsurface pipette activity,paths brushes,different,0.394969404,different
1671,paste tool,fill color,different,0.394852221,different
25,save temporary copies automatically,save your favourite,different,0.394844174,different
3693,hide unhide layer,paste a part,different,0.39470613,different
3226,reuse drawingsurface pipette activity,more shapes,different,0.394283891,different
816,close transform tool options clicking apply,color fill tool,different,0.393970698,different
2315,dynamic color scheme,infinite painter,different,0.393776774,different
2080,share feature,go hang,different,0.393347532,different
2345,paste tool,intuitive layout,different,0.393170178,different
732,upload mapping jenkins release builds,clone tool,different,0.393097728,different
542,image file size editing,change canvas size,different,0.39270243,different
3276,center button transform tool,move bits,different,0.392690182,different
3461,save dialog,new update,different,0.392673641,different
1735,checkmark confirm tool applications,fill tools,different,0.392210364,different
219,reuse drawingsurface pipette activity,air brush,different,0.392185301,different
2668,save temporary copies automatically,load photos,different,0.392038584,different
3628,github crowdin integration,output resolution,different,0.392028391,different
4168,correct user intended position tools,resize picture,different,0.391922206,different
3064,reuse drawingsurface pipette activity,marking options,different,0.391878068,different
3769,paste tool,perfect substitute,different,0.39185822,different
4179,insert image catrobat media gallery,resize pictures,different,0.391679496,different
4956,save dialog,text insert,different,0.39126724,different
1428,close transform tool options clicking apply,drawing tools like brush,different,0.391121566,different
4565,correct user intended position tools,settings option,different,0.390844703,different
4698,correct user intended position tools,small basic animation,different,0.390663058,different
1520,hint change default settings tools,edit photos of gacha,different,0.390654534,different
5246,spray tool,version ads,different,0.39060843,different
487,reuse drawingsurface pipette activity,blur tool,different,0.390537828,different
5247,insert image catrobat media gallery,version ads,different,0.39040786,different
1346,dynamic color scheme,do some quite,different,0.390337169,different
1414,copy paste symbols stamp tool selection application,drawing tool for kids,different,0.390215993,different
3871,image file size editing,pictures with transparency,different,0.390035391,different
87,image file size editing,add graph,different,0.38994959,different
3431,hint change default settings tools,new image option,different,0.389940262,different
1072,github crowdin integration,create graphics,different,0.389874279,different
398,save dialog,available font,different,0.389595956,different
194,upload mapping jenkins release builds,adding text,different,0.389581293,different
3287,paste tool,move image,different,0.389477015,different
1588,dynamic color scheme,editing large images,different,0.389443249,different
3696,spray tool,paste a part,different,0.389418811,different
3014,dynamic color scheme,many opportunities,different,0.389323771,different
4442,share feature,see this drive,different,0.389060348,different
3421,save temporary copies automatically,new image option,different,0.389012814,different
2248,checkmark confirm tool applications,image editing,different,0.388743937,different
2945,hint change default settings tools,main issue tools,different,0.388710856,different
4558,center button transform tool,settings option,different,0.388688862,different
3286,save temporary copies automatically,move image,different,0.388681471,different
1601,checkmark confirm tool applications,enter texts,different,0.388586313,different
1104,correct user intended position tools,create pictures,different,0.38853389,different
4404,reuse drawingsurface pipette activity,see a grid,different,0.388317555,different
